Word,Language
concha,es
carajo,es
chilito,es
joderse,es
costar un huevo,es
maldición,es
mostacero,es
tu madre es una estupida,es
pichacorta,es
we,es
pinche puta,es
mamon,es
huey,es
"chinga tu madre, cabron",es
cojón,es
remojar el cochayuyo,es
chichi,es
wea,es
soplapollas,es
sucia,es
hueva,es
pargo,es
te cogieron de pendejo,es
rabo,es
me cago en el coño de tu madre,es
maricon,es
hasta la madre,es
pinche idiota,es
putain,es
joto,es
la cagada,es
te voy a romper la cara a trompadas,es
cabrón,es
chingate,es
coño ,es
yo mataria tu,es
maraca,es
peras,es
"no huyas, pendejo",es
tocarse las peras,es
pete,es
tarado,es
cara de monda,es
comerán mierda,es
maraco,es
plumífero,es
mamaverga,es
cola,es
que te den por culo,es
invertido,es
una pendejada,es
mariquita,es
maricona,es
agilipollado,es
pirobo,es
playo,es
parcha,es
joder,es
tontopollas,es
jode a tu madre,es
cojeme,es
pinche,es
deje de ser tan pendejo,es
la he jodido,es
chingóna,es
trompada,es
salchicha,es
las tetas,es
chuchamadre,es
choto,es
cucaracha,es
maldito,es
homo,es
negraco,es
tortillera,es
caray,es
ojete,es
puta,es
pute,es
chupamedias,es
chinga tu hermana,es
comemierda,es
plon,es
julandrón,es
me importa tres cojones,es
tengo ganas,es
trolo,es
julai,es
vete a la chingada,es
putta,es
panoche,es
vete al infierno,es
hora,es
cojon,es
cara de panocha,es
sarasa,es
chotera,es
eres una marica,es
vete a la mierda,es
wa,es
cojonazos,es
valió madre,es
chorra,es
mamapinga,es
bolas,es
mojon,es
mamagüevos,es
fundío,es
nabo,es
guarra,es
chingado,es
come mierda,es
tocar los cojones,es
me cago en la virgen,es
mamona,es
cabron,es
mamavergas,es
tonta,es
cueco,es
jodido,es
conchatumadre,es
se la metio,es
le quedo una chimba,es
gilipollas,es
pelos de los huevos,es
mal bicho,es
metete un palo por el culo,es
me cago en la leche,es
verga dura,es
me importa un huevo,es
huevada,es
cipote,es
chupame la polla,es
hijo de la chingada,es
comecaca,es
besame el culo,es
zunga,es
estás puto,es
hijo de mil putas,es
cara de pito,es
bombero,es
chotaco,es
desviado,es
cagaste y saltaste en la caca,es
tu madre es una puta,es
métetelo por el culo,es
rosquete,es
caracho,es
negrata,es
me encanta tu culo,es
garchar,es
madrear,es
tirate a un poso,es
una pendeja,es
me cago,es
de cojones,es
puto,es
pinga,es
trucha,es
calientapollas,es
jupa de pollo,es
mondá,es
basura,es
fundillo,es
valió verga,es
cundango,es
wey,es
gonorrea,es
pedazo,es
madrazo,es
banana,es
porongo,es
me importa un cojón,es
macha,es
no me jodas,es
manflor,es
trabuco,es
por huevos,es
comilón,es
zorra,es
todo el jupa de poll,es
