Word,Language
prendere per il culo,it
a pecorina,it
baldracca,it
porca madonna,it
che due palle,it
intro culo di mammata,it
sembri un peni,it
che due coglioni,it
pezzo di merda,it
fica,it
va’ a fare in culo,it
puttanaio,it
tua mamma bocchinara,it
ma’ va te ne a fanculo,it
scoregge,it
faccia a culo,it
cazzo si,it
sfigati,it
ditalino,it
inculare,it
porco cane,it
stronzo,it
fare una sega,it
va fangool,it
zoccole,it
avere un culo così grande,it
vai a farti fottere,it
mignotte,it
mangia merda,it
ce l’hai piccolo,it
mortacci tua,it
mezza sega,it
coglioni,it
fatti una pugnetta,it
bafangu chooch,it
vai a cacare,it
stronza,it
coglione,it
posso leccare il tua figa,it
vai all’inferno,it
stronzi,it
testa di minchia,it
bocchino,it
manache,it
segarsi,it
culattone,it
vaffanculo,it
andare a puttane,it
culo,it
sti cazza,it
bacha ma culo,it
cacare,it
essere un culo,it
minchia,it
dio cane!,it
figa,it
sfigato,it
un pompino,it
leccami il culo,it
cacata,it
troia,it
figlio di puttana,it
porca vacca,it
pompini,it
leccaculo,it
figlio di Troia,it
gnocca,it
latrin!,it
porca miseria ,it
che ti morisse  la mamma,it
minchia!,it
sputtanare,it
che due palle,it
zuia,it
frocio,it
sborro,it
santo cazzo madre di cristo,it
cavolo,it
mignotta,it
porco giuda,it
vai a cagare,it
cazzata,it
merda,it
mannaggia,it
pompinara,it
troie,it
i coglioni,it
finocchio,it
cagare,it
sburro,it
minchiata,it
smerdare,it
puttanata,it
mona,it
fava,it
ir budello di tu ma’,it
alla pecorina,it
ricchioni,it
fighe,it
leccami la figa,it
cazzo in culo,it
che culo,it
ti corro in culo,it
pompinare,it
va' a fare in culo,it
porca puttana,it
a fanabla!,it
fottiti,it
baldracche,it
minchione,it
ce un cibirut,it
al diavolo,it
curnut!,it
cornuto,it
 porco iddio,it
bocchini,it
che ti morisse la madre,it
care un calcio nel culo a qualcuno,it
ditalini,it
porco dio,it
scoreggia,it
mone,it
accidenti,it
rompere il culo a qualcuno,it
spagnola,it
vattela a pijà 'n der culo,it
finocchi,it
avere la faccia come il culo,it
sfacim e merde,it
maiala,it
porca miseria,it
cagacazzo,it
segaiolo,it
cornuti,it
pompinaro,it
zoccola,it
rotto nel culo,it
minchie,it
culi,it
incazzarsi,it
fottere,it
fongoul,it
sfiga,it
cazzeggiare,it
dio cangurello,it
vai a vendere il culo,it
che cazzo,it
mangia merde e morte,it
mimbominkia,it
accidenti!,it
scopare,it
"vai a farti fottere, puttana!",it
ti ammazzo,it
cagata,it
ricchione,it
bastardo,it
seghe,it
puttana,it
vai a dar via il culo,it
cazzo Madre di dio,it
pompino,it
sborra,it
tu piezza di merda!,it
figlio un cane,it
gran’ disgraziato,it
andare a puttane:,it
puttaniere,it
mafankulo,it
porca troia,it
cazzi,it
porca eva,it
che te pozzino ammazza!,it
sbora,it
testa di cazzo,it
cretino,it
che palle,it
bastardi,it
rottinculo,it
dio santo!,it
segone,it
sega,it
sborrare,it
cazzo,it
gnocche,it
mannaggia tua,it
nessuno mi unfungulo,it
cazzo di merda,it
Testa di minchia,it
fiche,it
tu ma’ piscia in piedi,it
brutto figlio di puttana bastardo,it
froci,it
puttane,it
