Word,Language
filho da puta,pt
pisso,pt
puta que pariu,pt
cabra,pt
escroto,pt
saco de merda,pt
cracudo,pt
foder,pt
vai se foder,pt
vagabundo,pt
porra,pt
pra caralho,pt
broche,pt
pixota,pt
chupa meu pau,pt
pau,pt
galinha,pt
cacete,pt
bicha,pt
arrombado,pt
pica,pt
rego do cu,pt
piça,pt
corno,pt
negão,pt
merda,pt
xoxota,pt
boquete,pt
olho do cu,pt
chupa-mos,pt
peido,pt
mijar,pt
sapatão,pt
mouro,pt
siririca,pt
foda,pt
cu,pt
foda-se,pt
vai apanhar no cu,pt
fodido,pt
vai pro caralho,pt
teu cu,pt
minete,pt
babaca,pt
mamada,pt
cona,pt
paneleiro,pt
cachorro,pt
pachacha,pt
trepar,pt
piroca,pt
enrabar,pt
do caralho,pt
negro,pt
cachorra,pt
bobo,pt
puta merda,pt
fode-te,pt
piranha,pt
caralho,pt
escrota,pt
punheta,pt
vai tomar no cu,pt
cabrão,pt
viado,pt
rata,pt
que porra é essa,pt
canalha,pt
cagar,pt
preto,pt
encher o saco,pt
pito,pt
badalhoca,pt
trouxa,pt
sacanagem,pt
puta,pt
"vai para o caralho, vai-te foder",pt
monte de merda,pt
boiola,pt
vai mamar na quinta pata do cavalo,pt
brocha,pt
moor,pt
caceta,pt
buceta,pt
pila,pt
porra nenhuma,pt
badalhoco,pt
vaca,pt
nem fodendo,pt
