Word,Language,IPA
concha,es,kont͡ʃa
carajo,es,kaɾaxo
chilito,es,t͡ʃilito
joderse,es,xodeɾse
costar un huevo,es,kostaɾ un uebo
maldición,es,maldision
mostacero,es,mostaseɾo
tu madre es una estupida,es,tu madɾe es una estupida
pichacorta,es,pit͡ʃakoɾta
we,es,we
pinche puta,es,pint͡ʃe puta
mamon,es,mamon
huey,es,uei
"chinga tu madre, cabron",es,"t͡ʃinɡa tu madɾe, kabɾon"
cojón,es,koxon
remojar el cochayuyo,es,ɾemoxaɾ el kot͡ʃajuio
chichi,es,t͡ʃit͡ʃi
wea,es,wea
soplapollas,es,soplapoʝas
sucia,es,susia
hueva,es,ueba
pargo,es,paɾɡo
te cogieron de pendejo,es,te koxieɾon de pendexo
rabo,es,ɾabo
me cago en el coño de tu madre,es,me kaɡo en el koɲo de tu madɾe
maricon,es,maɾikon
hasta la madre,es,asta la madɾe
pinche idiota,es,pint͡ʃe idjota
putain,es,putain
joto,es,xoto
la cagada,es,la kaɡada
te voy a romper la cara a trompadas,es,te boi a ɾompeɾ la kaɾa a tɾompadas
cabrón,es,kabɾon
chingate,es,t͡ʃinɡate
coño ,es,koɲo
yo mataria tu,es,io mataɾja tu
maraca,es,maɾaka
peras,es,peɾas
"no huyas, pendejo",es,"no ujas, pendexo"
tocarse las peras,es,tokaɾse las peɾas
pete,es,pete
tarado,es,taɾado
cara de monda,es,kaɾa de monda
comerán mierda,es,komeɾan mjeɾda
maraco,es,maɾako
plumífero,es,plumifeɾo
mamaverga,es,mamabeɾɡa
cola,es,kola
que te den por culo,es,ke te den poɾ kulo
invertido,es,inbeɾtido
una pendejada,es,una pendexada
mariquita,es,maɾikita
maricona,es,maɾikona
agilipollado,es,axilipoʝado
pirobo,es,piɾobo
playo,es,plajo
parcha,es,paɾt͡ʃa
joder,es,xodeɾ
tontopollas,es,tontopoʝas
jode a tu madre,es,xode a tu madɾe
cojeme,es,koxeme
pinche,es,pint͡ʃe
deje de ser tan pendejo,es,dexe de seɾ tan pendexo
la he jodido,es,la e xodido
chingóna,es,t͡ʃinɡona
trompada,es,tɾompada
salchicha,es,salt͡ʃit͡ʃa
las tetas,es,las tetas
chuchamadre,es,t͡ʃut͡ʃamadɾe
choto,es,t͡ʃoto
cucaracha,es,kukaɾat͡ʃa
maldito,es,maldito
homo,es,omo
negraco,es,neɡɾako
tortillera,es,toɾtiʝeɾa
caray,es,kaɾai
ojete,es,oxete
puta,es,puta
pute,es,pute
chupamedias,es,t͡ʃupamedjas
chinga tu hermana,es,t͡ʃinɡa tu eɾmana
comemierda,es,komemjeɾda
plon,es,plon
julandrón,es,xulandɾon
me importa tres cojones,es,me impoɾta tɾes koxones
tengo ganas,es,tenɡo ɡanas
trolo,es,tɾolo
julai,es,xulai
vete a la chingada,es,bete a la t͡ʃinɡada
putta,es,putta
panoche,es,panot͡ʃe
vete al infierno,es,bete al infjeɾno
hora,es,oɾa
cojon,es,koxon
cara de panocha,es,kaɾa de panot͡ʃa
sarasa,es,saɾasa
chotera,es,t͡ʃoteɾa
eres una marica,es,eɾes una maɾika
vete a la mierda,es,bete a la mjeɾda
wa,es,wa
cojonazos,es,koxonasos
valió madre,es,baljo madɾe
chorra,es,t͡ʃora
mamapinga,es,mamapinɡa
bolas,es,bolas
mojon,es,moxon
mamagüevos,es,mamaɡwebos
fundío,es,fundjo
nabo,es,nabo
guarra,es,ɡwara
chingado,es,t͡ʃinɡado
come mierda,es,kome mjeɾda
