Word,Language,IPA
آب کیر,fa,ɒb kjr
آشغال,fa,ɒʃɣɒl
آلت تناسلی,fa,ɒlt tnɒslj
آلت,fa,ɒlt
ابله,fa,ɒblh
ابن یزید,fa,ɒbn jzjd
احمق,fa,ɒhmɣ
اسب,fa,ɒsb
اسبی,fa,ɒsbj
اسکل,fa,ɒskl
اسکل,fa,ɒskl
اسگل,fa,ɒsɡl
اسگول,fa,ɒsɡvl
الاغ,fa,ɒlɒɣ
الاق,fa,ɒlɒɣ
انگل,fa,ɒŋl
انی,fa,ɒnj
انی,fa,ɒnj
اوسکل,fa,ɒvskl
اوسکل,fa,ɒvskl
اوسگل,fa,ɒvsɡl
اوصکل,fa,ɒvskl
اوصگل,fa,ɒvsɡl
ب ک,fa,b k
باسن,fa,bɒsn
بخورش,fa,bxvrʃ
بدبخت,fa,bdbxt
بمال,fa,bmɒl
تخمم,fa,txmm
کیرم,fa,kjrm
بپرروش,fa,bپrrvʃ
بپرسرش,fa,bپrsrʃ
کونی,fa,kvnj
بکارت,fa,bkɒrt
بکن توش,fa,bkn tvʃ
بکنش,fa,bknʃ
بکنمت,fa,bknmt
خایه,fa,xɒjh
بی عفت,fa,bj ʔft
بی غیرت,fa,bj ɣjrt
بی ناموس,fa,bj nɒmvs
بی پدر,fa,bj پdr
بیابخورش,fa,bjɒbxvrʃ
بیشعور,fa,bjʃʔvr
بیناموس,fa,bjnɒmvs
تخم سگ,fa,txm sɡ
تخمی,fa,txmj
ترک,fa,trk
توله سگ,fa,tvlh sɡ
جاکش,fa,d͡ʒɒkʃ
جلق زدن,fa,d͡ʒlɣ zdn
جنده,fa,d͡ʒndh
جنسی,fa,d͡ʒnsj
جوون,fa,d͡ʒvvn
جکس,fa,d͡ʒks
جیندا,fa,d͡ʒjndɒ
حرومزاده,fa,hrvmzɒdh
حشر,fa,hʃr
حشری شدن,fa,hʃrj ʃdn
حشری,fa,hʃrj
حیوانی,fa,hjvɒnj
خارکس ده,fa,xɒrks dh
خارکسده,fa,xɒrksdh
خارکسّه,fa,xɒrksّh
خانم جنده,fa,xɒnm d͡ʒndh
خایه خور,fa,xɒjh xvr
خایه مال,fa,xɒjh mɒl
خایه,fa,xɒjh
خر,fa,xr
خرفت,fa,xrft
خری,fa,xrj
خز,fa,xz
خفه خون,fa,xfh xvn
خفه شو,fa,xfh ʃv
خواهرجنده,fa,xvɒhrd͡ʒndh
خی کاس,fa,xj kɒs
داف ناز,fa,dɒf nɒz
داف,fa,dɒf
داگ استایل,fa,dɒɡ ɒstɒjl
دخترجنده,fa,dxtrd͡ʒndh
دخترقرتی,fa,dxtrɣrtj
درازگوش,fa,drɒzɡvʃ
دله,fa,dlh
دهن سرویس,fa,dhn srvjs
گاییده,fa,ɡɒjjdh
دهنت سرویس,fa,dhnt srvjs
دوجنسه,fa,dvd͡ʒnsh
دول,fa,dvl
دیوث,fa,djvs
دیوس خان,fa,djvs xɒn
دیوس,fa,djvs
دیوص,fa,djvs
رشتی,fa,rʃtj
ریدن,fa,rjdn
ریدی,fa,rjdj
زارت,fa,zɒrt
زباله,fa,zbɒlh
زرنزن,fa,zrnzn
زن جنده,fa,zn d͡ʒndh
زن کاسده,fa,zn kɒsdh
