Word,Language,IPA
connard,fr,kɔnaʀ
je m’en fou,fr,ʒə m’ən fu
je m’en fous,fr,ʒə m’ən fu
t’as intérêt ne pas m’énervé,fr,t’as ɛ̃teʀə̂t nə pas m’enɛʀve
je m’en fiche,fr,ʒə m’ən fiʃ
emmerdeur,fr,ɑmɛʀdœʀ
mange de la merde,fr,mɑ̃ʒə də la mɛʀd
je veux faire l’amour avec toi,fr,ʒə vœks fɛʀɛ l’amuʀ avək twa
papier q,fr,papjəʀ k
ça me fait chier,fr,sa mə fɛt ʃjəʀ
ducon,fr,dykɔ̃
t’es rien qu’un petit connard,fr,t’əs ʀjɛ̃ k’yn pətit kɔnaʀ
putain de merde,fr,pytɛn də mɛʀd
s’en foutre,fr,s’ən futʀ
va te faire enculer,fr,va tə fɛʀɛ ɑ̃kyləʀ
tu es con,fr,ty əs kɔ̃
je me fais chier,fr,ʒə mɛ fɛs ʃjəʀ
"meurs, pute",fr,"mœʀs, pyt"
batard,fr,bataʀ
pétasse,fr,petas
dégage,fr,deɡaʒ
tu fais chier,fr,ty fɛs ʃjəʀ
enfoiré,fr,ɑ̃fwaʀe
ma couille,fr,ma kujl
chiante,fr,ʃjɑ̃tə
nom de dieu,fr,nɔm də djø
ta race,fr,ta ʀaz
mes couilles en toi,fr,məs kujlɛs ən twa
une casse-couille,fr,ynə kasə-kujl
rien à branler,fr,ʀjən a bʀɑ̃ləʀ
ça fait shier,fr,sa fɛt sjəʀ
pq,fr,pk
chatte,fr,ʃat
baise moi mor,fr,bɛzə mwa mɔʀ
couille,fr,kujl
c’est pas con,fr,k’ɛst pas kɔ̃
crève la gueule ouverte,fr,kʀə̀vɛ la ɡɥœlə uvɛʀt
j’ai baisé ta mère,fr,ʒ’ai bɛze ta mə̀ʀ
sale,fr,sal
branleur,fr,bʀɑ̃lœʀ
couillon,fr,kujlɔ̃
bachie coupe,fr,baʃjə kup
baise,fr,bɛz
enfoirée,fr,ɑ̃fwaʀe
va te faire foutre,fr,va tə fɛʀə futʀ
allez,fr,alɛ
je t’emmerde,fr,ʒə t’ɑmɛʀd
enculée,fr,ɑ̃kyle
"oh, merde",fr,"ɔ, mɛʀd"
c’est vraiment de ta faute,fr,k’ɛst vʀɛmɑ̃t də ta fot
ça craint,fr,sa kʀɛ̃
dégueu,fr,deɡɥø
s’en branler,fr,s’ən bʀɑ̃ləʀ
cul,fr,kyl
va t’en,fr,va t’ɑ̃
couilles,fr,kujl
casse-toi,fr,kasə-twa
niquer,fr,nikəʀ
pédé,fr,pede
idiote,fr,idjɔt
putain,fr,pytɛ̃
j’ai envie de chier,fr,ʒ’ai ɑ̃vjə dɛ ʃjəʀ
t’es un salaud,fr,t’əs yn salo
foutre le bordel,fr,futʀə lɛ bɔʀdəl
vous sentez comme le boeuf et le fromage,fr,vus sɑ̃təz kɔmɛ lɛ bɔœf ɛt lə fʀɔmaʒ
gross cul,fr,ɡʀɔs kyl
chiant,fr,ʃjɑ̃t
quel salaud,fr,kəl salo
je me suis fait baiser,fr,ʒə mɛ sɥis fɛt bɛzəʀ
imbécile,fr,ɛ̃bezil
film de cul,fr,film də kyl
s’en foutre de,fr,s’ən futʀə d
