Word,Language,IPA
कुत्ते की औलाद,hi,kutte kiː ɔːlaːd
कुत्ते की ज़ात,hi,kutte kiː zaːt
सूअर की औलाद,hi,suːarə kiː ɔːlaːd
सूअर की ज़ात,hi,suːarə kiː zaːt
गधे की औलाद,hi,ɡəd̤e kiː ɔːlaːd
गधे की ज़ात,hi,ɡəd̤e kiː zaːt
बंदर की औलाद,hi,bəndrə kiː ɔːlaːd
बंदर की ज़ात,hi,bəndrə kiː zaːt
भैंस की औलाद,hi,b̤æːnsə kiː ɔːlaːd
भैंस की ज़ात,hi,b̤æːnsə kiː zaːt
उल्लू की औलाद,hi,ulluː kiː ɔːlaːd
उल्लू की ज़ात,hi,ulluː kiː zaːt
लोमड़ी की औलाद,hi,lomɽiː kiː ɔːlaːd
लोमड़ी की ज़ात,hi,lomɽiː kiː zaːt
भेड़ की औलाद,hi,b̤eɽə kiː ɔːlaːd
भेड़ की ज़ात,hi,b̤eɽə kiː zaːt
बकरी की औलाद,hi,bəkriː kiː ɔːlaːd
बकरी की ज़ात,hi,bəkriː kiː zaːt
बिल्ली की औलाद,hi,billiː kiː ɔːlaːd
बिल्ली की ज़ात,hi,billiː kiː zaːt
मेंढक की औलाद,hi,menɖ̤kə kiː ɔːlaːd
मेंढक की ज़ात,hi,menɖ̤kə kiː zaːt
बदीर,hi,bədiːr
बदीरचंद,hi,bədiːrt͡ʃəndə
बकलैंड,hi,bəklæːnɖə
बकलंड,hi,bəklənɖə
भंडवा,hi,b̤ənɖvaː
भड़वा,hi,b̤əɽvaː
चिनाल,hi,t͡ʃinaːl
छनाल,hi,t͡ʃʰənaːl
चूतिया,hi,t͡ʃuːtijaː
चुतिया,hi,t͡ʃutijaː
घसटी,hi,ɡ̤əsʈiː
घसति,hi,ɡ̤əsti
घसड़,hi,ɡ̤əsəɽ
घस्सड़,hi,ɡ̤əssəɽ
हरामी,hi,ɦəraːmiː
हरामज़ादा,hi,ɦəraːmzaːdaː
हरामजादा,hi,ɦəraːmd͡ʒaːdaː
हिजड़ा,hi,ɦid͡ʒɽaː
हिजड़ा,hi,ɦid͡ʒɽaː
टट्टी,hi,ʈəʈʈiː
चोद,hi,t͡ʃod
 लंड,hi,lənɖə
 लोडे,hi,loɖe
 टक्के,hi,ʈəkke
छक्का,hi,t͡ʃʰəkkaː
हिजड़ा,hi,ɦid͡ʒɽaː
टट्टे,hi,ʈəʈʈe
रांड ,hi,raːnɖə
रंढवा,hi,rənɖ̤vaː
जिगोलो,hi,d͡ʒiɡolo
रंडी,hi,rənɖiː
लंड,hi,lənɖə
चूत,hi,t͡ʃuːt
बंड,hi,bənɖə
गांडू,hi,ɡaːnɖuː
गांडी,hi,ɡaːnɖiː
भोसड़ी वाला,hi,b̤osɽiː vaːlaː
भोंसड़ी वाला,hi,b̤onsɽiː vaːlaː
भोसरी वाला,hi,b̤osriː vaːlaː
बूबले,hi,buːble
चुची,hi,t͡ʃut͡ʃiː
चूचे,hi,t͡ʃuːt͡ʃe
चूचियां,hi,t͡ʃuːt͡ʃijaːn
चूत मार के,hi,t͡ʃuːtə maːrə ke
लंड मार के,hi,lənɖə maːrə ke
गांड मारी के,hi,ɡaːnɖə maːriː ke
चोदू,hi,t͡ʃoduː
लौड़ा,hi,lɔːɽaː
लौंडा,hi,lɔːnɖaː
लोडा,hi,loɖaː
लंड,hi,lənɖə
मुठ मारना,hi,muʈʰə maːrnaː
मुठी,hi,muʈʰiː
मुठल,hi,muʈʰəl
बाबले,hi,baːble
बुर,hi,bur
चोदना,hi,t͡ʃodnaː
चुदना,hi,t͡ʃudnaː
चुद,hi,t͡ʃud
बूबले,hi,buːble
चोदू,hi,t͡ʃoduː
भड़वा,hi,b̤əɽvaː
भड़वे,hi,b̤əɽve
भड़वों,hi,b̤əɽvon
भड़वी,hi,b̤əɽviː
भड़वापंती,hi,b̤əɽvaːpəntiː
चोदेला,hi,t͡ʃodelaː
मारना,hi,maːrnaː
मारनी,hi,maːrniː
मारने,hi,maːrne
