Word,Language,IPA
prendere per il culo,it,prendere per il kulo
a pecorina,it,a pekorina
baldracca,it,baldrakːa
porca madonna,it,porka madonːa
che due palle,it,ke due palːe
intro culo di mammata,it,intro kulo di mamːata
sembri un peni,it,sembri un peni
che due coglioni,it,ke due koʎoni
pezzo di merda,it,pet͡so di merda
fica,it,fika
va’ a fare in culo,it,va’ a fare in kulo
puttanaio,it,putːanaio
tua mamma bocchinara,it,tua mamːa bokːinara
ma’ va te ne a fanculo,it,ma’ va te ne a fankulo
scoregge,it,ʃored͡ʒːe
faccia a culo,it,fat͡ʃːa a kulo
cazzo si,it,kat͡so si
sfigati,it,sfiɡati
ditalino,it,ditalino
inculare,it,inkulare
porco cane,it,porko kane
stronzo,it,stronso
fare una sega,it,fare una seɡa
va fangool,it,va fanɡool
zoccole,it,sokːole
avere un culo così grande,it,avere un kulo kosi ɡrande
vai a farti fottere,it,vai a farti fotːere
mignotte,it,miɲotːe
mangia merda,it,mand͡ʒa merda
ce l’hai piccolo,it,t͡ʃe l’ai pikːolo
mortacci tua,it,mortat͡ʃːi tua
mezza sega,it,met͡sa seɡa
coglioni,it,koʎoni
fatti una pugnetta,it,fatːi una puɲetːa
bafangu chooch,it,bafanɡu kook
vai a cacare,it,vai a kakare
stronza,it,stronsa
coglione,it,koʎone
posso leccare il tua figa,it,posːo lekːare il tua fiɡa
vai all’inferno,it,vai alː’inferno
stronzi,it,stronsi
testa di minchia,it,testa di minkia
bocchino,it,bokːino
manache,it,manake
segarsi,it,seɡarsi
culattone,it,kulatːone
vaffanculo,it,vafːankulo
andare a puttane,it,andare a putːane
culo,it,kulo
sti cazza,it,sti kat͡sa
bacha ma culo,it,baka ma kulo
cacare,it,kakare
essere un culo,it,esːere un kulo
minchia,it,minkia
dio cane!,it,dio kane!
figa,it,fiɡa
sfigato,it,sfiɡato
un pompino,it,un pompino
leccami il culo,it,lekːami il kulo
cacata,it,kakata
troia,it,troia
figlio di puttana,it,fiʎo di putːana
porca vacca,it,porka vakːa
pompini,it,pompini
leccaculo,it,lekːakulo
figlio di Troia,it,fiʎo di troia
gnocca,it,ɲokːa
latrin!,it,latrin!
porca miseria ,it,porka miseria
