Word,Language,IPA
filho da puta,pt,filo dɐ putɐ
pisso,pt,piʃso
puta que pariu,pt,putɐ kʷɛ pɐɾiw
cabra,pt,kɐbʁɐ
escroto,pt,ɛʃkɾoto
saco de merda,pt,sɐko dɛ mɛɾdɐ
cracudo,pt,kɾɐkudo
foder,pt,fodɛɾ
vai se foder,pt,vaj sɛ fodɛɾ
vagabundo,pt,vɐɡɐbundo
porra,pt,poʁɐ
pra caralho,pt,pɾɐ kɐɾɐlo
broche,pt,bɾokɛ
pixota,pt,piksotɐ
chupa meu pau,pt,kupɐ mew paw
pau,pt,paw
galinha,pt,ɡɐlinɐ
cacete,pt,kɐzɛtɛ
bicha,pt,bikɐ
arrombado,pt,ɐʁombɐdo
pica,pt,pikɐ
rego do cu,pt,ʁɛɡo do ku
piça,pt,pisɐ
corno,pt,koɾno
negão,pt,nɛɡɐ̃w̃
merda,pt,mɛɾdɐ
xoxota,pt,ʃoksotɐ
boquete,pt,bokʷɛtɛ
olho do cu,pt,olo do ku
chupa-mos,pt,kupɐ-moʃ
peido,pt,pɛjdo
mijar,pt,miʒɐɾ
sapatão,pt,sɐpɐtɐ̃w̃
mouro,pt,mowuɾo
siririca,pt,siɾiɾikɐ
foda,pt,fodɐ
cu,pt,ku
foda-se,pt,fodɐ-sɛ
vai apanhar no cu,pt,vaj ɐpɐnɐɾ no ku
fodido,pt,fodido
vai pro caralho,pt,vaj pɾo kɐɾɐlo
teu cu,pt,tew ku
minete,pt,minɛtɛ
babaca,pt,bɐbɐkɐ
mamada,pt,mɐmɐdɐ
cona,pt,konɐ
paneleiro,pt,pɐnɛlɛjɾo
cachorro,pt,kɐkoʁo
pachacha,pt,pɐkɐkɐ
trepar,pt,tɾɛpɐɾ
piroca,pt,piɾokɐ
enrabar,pt,ɛnʁɐbɐɾ
do caralho,pt,do kɐɾɐlo
negro,pt,nɛɡʁo
cachorra,pt,kɐkoʁɐ
bobo,pt,bobo
puta merda,pt,putɐ mɛɾdɐ
fode-te,pt,fodɛ-tɛ
piranha,pt,piɾɐnɐ
caralho,pt,kɐɾɐlo
escrota,pt,ɛʃkɾotɐ
punheta,pt,punɛtɐ
vai tomar no cu,pt,vaj tomɐɾ no ku
cabrão,pt,kɐbʁɐ̃w̃
viado,pt,viɐdo
rata,pt,ʁɐtɐ
que porra é essa,pt,kʷɛ poʁɐ e ɛʃsɐ
canalha,pt,kɐnɐlɐ
cagar,pt,kɐɡɐɾ
preto,pt,pɾɛto
encher o saco,pt,ɛnkɛɾ o sɐko
pito,pt,pito
badalhoca,pt,bɐdɐlokɐ
trouxa,pt,tɾowuksɐ
sacanagem,pt,sɐkɐnɐʒɛ̃
puta,pt,putɐ
"vai para o caralho, vai-te foder",pt,"vaj pɐɾɐ o kɐɾɐlo, vaj-tɛ fodɛɾ"
monte de merda,pt,montɛ dɛ mɛɾdɐ
boiola,pt,bowjolɐ
vai mamar na quinta pata do cavalo,pt,vaj mɐmɐɾ nɐ kʷintɐ pɐtɐ do kɐvɐlo
brocha,pt,bɾokɐ
moor,pt,mowoɾ
caceta,pt,kɐzɛtɐ
buceta,pt,buzɛtɐ
pila,pt,pilɐ
porra nenhuma,pt,poʁɐ nɛnumɐ
badalhoco,pt,bɐdɐloko
vaca,pt,vɐkɐ
nem fodendo,pt,nɛm fodɛndo
