Word,Language,IPA
блядина,ru,blʲadʲina
закрой рот,ru,zakroj rot
чушка,ru,t͡ɕʲuʂka
куни,ru,kuni
жидоёбское,ru,ʒidoobskoe
тварь,ru,tvarʲ
мымра,ru,mɨmra
пасть забей,ru,pastʲ zabʲej
еврей,ru,jevrʲej
падла ебаная,ru,padla ebanaa
выблядок,ru,vɨblʲadok
алкоголик,ru,alkoɡolʲik
гандон штопаный,ru,ɡandon ʂtopanɨj
зануда,ru,zanuda
пендосия,ru,pʲendosʲia
сука,ru,suka
пидор,ru,pʲidor
страхоёбище,ru,straxoobʲiɕːe
срака,ru,sraka
бомж,ru,bomʒ
радужный мальчик,ru,raduʒnɨj malʲt͡ɕʲik
стоячек,ru,stoat͡ɕʲek
взбляд,ru,vzblʲad
а хули,ru,a xulʲi
святоша,ru,svʲatoʂa
ёбаный стос,ru,jobanɨj stos
алень,ru,alʲenʲ
пиздоблошка,ru,pʲizdobloʂka
хуедин,ru,xuedʲin
нихуя,ru,nixua
голуби,ru,ɡolubʲi
пришью,ru,prʲiʂu
гнойный,ru,ɡnojnɨj
блядский,ru,blʲadskʲij
наебнуться,ru,naebnutʲsʲa
мухосоранск,ru,muxosoransk
елдак,ru,jeldak
наеб,ru,naeb
хуеман,ru,xueman
хуйня,ru,xujna
доебались,ru,doebalʲisʲ
выебон,ru,vɨebon
хуле,ru,xulʲe
змея,ru,zmʲea
волосня,ru,volosna
чучмен,ru,t͡ɕʲut͡ɕʲmʲen
на хуя,ru,na xua
обламаться,ru,oblamatʲsʲa
мерхавеч,ru,mʲerxavʲet͡ɕʲ
барыга,ru,barɨɡa
дерьмоед,ru,dʲerʲmoed
ебанулось,ru,jebanulosʲ
дупло,ru,duplo
присунуть,ru,prʲisunutʲ
ахуел,ru,axuel
блядское,ru,blʲadskoe
настреляли по пиздюлятору,ru,nastrʲelʲalʲi po pʲizdʲulʲatoru
ебанько,ru,jebanʲko
манья,ru,mana
спиздить,ru,spʲizdʲitʲ
ебанула,ru,jebanula
выблядовал,ru,vɨblʲadoval
скотоёб,ru,skotoob
обосцать,ru,obost͡satʲ
однохуйственно,ru,odnoxujstvʲenno
менты,ru,mʲentɨ
наебнулась,ru,naebnulasʲ
ёбнул,ru,jobnul
стоячок,ru,stoat͡ɕʲok
блядская,ru,blʲadskaa
распиздошила,ru,raspʲizdoʂila
блядство,ru,blʲadstvo
шоха,ru,ʂoxa
жидоёбский,ru,ʒidoobskʲij
дерьмохеропиздократия,ru,dʲerʲmoxʲeropʲizdokratʲia
прихуел,ru,prʲixuel
деревня,ru,dʲerʲevna
дурак,ru,durak
сволочь,ru,svolot͡ɕʲ
писька,ru,pʲisʲka
молокосос,ru,molokosos
злоебучий,ru,zloebut͡ɕʲij
опездол,ru,opʲezdol
радужный,ru,raduʒnɨj
дрянь,ru,drʲanʲ
пошел нахуй,ru,poʂel naxuj
еблище,ru,jeblʲiɕːe
лось,ru,losʲ
сексист,ru,sʲeksʲist
ебальный станок,ru,jebalʲnɨj stanok
свинтус,ru,svʲintus
рак мозга,ru,rak mozɡa
жидоёбка,ru,ʒidoobka
дать пизды,ru,datʲ pʲizdɨ
многопиздная,ru,mnoɡopʲizdnaa
трахнуть,ru,traxnutʲ
пиздовладелец,ru,pʲizdovladʲelʲet͡s
ебля,ru,jeblʲa
иди к черту,ru,idʲi k t͡ɕʲertu
нахуй,ru,naxuj
распиздяй,ru,raspʲizdʲaj
малолетка,ru,malolʲetka
голубятня,ru,ɡolubʲatna
змея подколодная,ru,zmʲea podkolodnaa
очко,ru,ot͡ɕʲko
передернуть,ru,pʲerʲedʲernutʲ
блядемудиный пиздопроёб,ru,blʲadʲemudʲinɨj pʲizdoproob
присунул,ru,prʲisunul
казел,ru,kazʲel
импотент,ru,impotʲent
навешать пиздюлей,ru,navʲeʂatʲ pʲizdʲulʲej
мне до лампочки,ru,mne do lampot͡ɕʲkʲi
хули,ru,xulʲi
остоебать,ru,ostoebatʲ
сукин сын,ru,sukʲin sɨn
пососи мои яйца,ru,pososʲi moi ajt͡sa
писюн,ru,pʲisʲun
хуй на тебя,ru,xuj na tʲebʲa
хохол,ru,xoxol
без пизды,ru,bʲez pʲizdɨ
мудозвод,ru,mudozvod
как ёб твою мать,ru,kak ob tvou matʲ
член,ru,t͡ɕʲlʲen
под юбкой,ru,pod ubkoj
хуйло,ru,xujlo
жополиз,ru,ʒopolʲiz
подонок,ru,podonok
наёб,ru,naob
говно,ru,ɡovno
путана,ru,putana
заебала,ru,zaebala
допизды,ru,dopʲizdɨ
елда,ru,jelda
дерево,ru,dʲerʲevo
проститутка,ru,prostʲitutka
еб тебя,ru,jeb tʲebʲa
отъебись,ru,otʲjebʲisʲ
гнида,ru,ɡnida
