Word,Language,IPA
hıyar,tr,hɯjaɾ
siktir orospu çocuğu,tr,siktiɾ oɾospu t͡ʃod͡ʒuɰu
taşak,tr,taʃak
aptal,tr,aptal
abaza,tr,abaza
kaşar,tr,kaʃaɾ
onbeş,tr,onbeʃ
denyo,tr,denjo
götüne koyarım,tr,ɡœtyne kojaɾɯm
götünü sikerim,tr,ɡœtyny sikeɾim
31 çekelim,tr,31 t͡ʃekelim
lavuk,tr,lavuk
amına koyarım,tr,amɯna kojaɾɯm
sıçtık,tr,sɯt͡ʃtɯk
ezik,tr,ezik
götten bacaklı,tr,ɡœtten bad͡ʒaklɯ
sikindirik,tr,sikindiɾik
yavşak,tr,javʃak
hiçbir lanet yolu,tr,hit͡ʃbiɾ lanet jolu
şapka,tr,ʃapka
amına koğumun piçi,tr,amɯna koɰumun pit͡ʃi
sıçarım babanın şarap çanağına,tr,sɯt͡ʃaɾɯm babanɯn ʃaɾap t͡ʃanaɰɯna
ecdadını sikeyim,tr,ed͡ʒdadɯnɯ sikejim
film,tr,film
sikim sokum,tr,sikim sokum
sikimtronik,tr,sikimtɾonik
sikitr,tr,sikitɾ
orospu,tr,oɾospu
yarrak,tr,jaɾɾak
abazan,tr,abazan
siktir,tr,siktiɾ
manda,tr,manda
götveren,tr,ɡœtveɾen
pislik,tr,pislik
şıllık,tr,ʃɯllɯk
frikik,tr,fɾikik
siçan,tr,sit͡ʃan
sıçarım gözlük camına dünyayı bombok görürsün,tr,sɯt͡ʃaɾɯm ɡœzlyk d͡ʒamɯna dynjajɯ bombok ɡœɾyɾsyn
zibidi,tr,zibidi
eline vermek,tr,eline veɾmek
feriştahını sikeyim,tr,feɾiʃtahɯnɯ sikejim
puşt,tr,puʃt
siktir git,tr,siktiɾ ɡit
götüne koyayım,tr,ɡœtyne kojajɯm
hasiktir,tr,hasiktiɾ
sığır,tr,sɯɰɯɾ
hayvan,tr,hajvan
kaltak,tr,kaltak
yarrak kafa,tr,jaɾɾak kafa
salak,tr,salak
tek kürek yalova yapmak,tr,tek kyɾek jalova japmak
amsalak,tr,amsalak
götünden kan alırım,tr,ɡœtynden kan alɯɾɯm
ver,tr,veɾ
sikik,tr,sikik
yelloz,tr,jelloz
sikmek,tr,sikmek
sıçışlardayız,tr,sɯt͡ʃɯʃlaɾdajɯz
orospu çocuğu,tr,oɾospu t͡ʃod͡ʒuɰu
ejderha,tr,eʒdeɾha
amına koyayım,tr,amɯna kojajɯm
am budalası,tr,am budalasɯ
ciğerini sikeyim,tr,d͡ʒiɰeɾini sikejim
bok ye,tr,bok je
amcık ağızlı,tr,amd͡ʒɯk aɰɯzlɯ
motor,tr,motoɾ
kavat,tr,kavat
amını sikerim,tr,amɯnɯ sikeɾim
beş,tr,beʃ
kicimi op,tr,kid͡ʒimi op
böluk,tr,bœluk
amcık hoşafı,tr,amd͡ʒɯk hoʃafɯ
köylü,tr,kœjly
nataşa,tr,nataʃa
ağzına sıçarım,tr,aɰzɯna sɯt͡ʃaɾɯm
embesil,tr,embesil
ısır beni,tr,ɯsɯɾ beni
kıç,tr,kɯt͡ʃ
kevaşe,tr,kevaʃe
sikimsonik,tr,sikimsonik
canın cehenneme,tr,d͡ʒanɯn d͡ʒehenneme
