Word,Language,IPA,English Translation,Sentiment_Compound
prendere per il culo,it,prendereperilkulo,take the piss,-0.4019
a pecorina,it,apekorina,doggy-style,0.0
baldracca,it,baldraka,whore,-0.6486
porca madonna,it,porkamadona,holy mother of God,0.2732
che due palle,it,keduepale,what a pair of balls,0.0
intro culo di mammata,it,introkulodimamata,intro mama's ass,-0.5423
sembri un peni,it,sembriunpeni,you look like a penis,0.3612
che due coglioni,it,keduekoʎoni,what two assholes,-0.5859
pezzo di merda,it,petsodimerda,piece of shit,-0.5574
fica,it,fika,cunt,-0.4939
va’ a fare in culo,it,vaafareinkulo,go fuck yourself,-0.5423
puttanaio,it,putanaio,whorehouse,-0.2732
tua mamma bocchinara,it,tuamamabokinara,your mouthy mom,0.0
ma’ va te ne a fanculo,it,mavateneafankulo,ma go fuck yourself,-0.5423
scoregge,it,ʃoredʒe,farts,0.0
faccia a culo,it,fatʃaakulo,assface,0.0
cazzo si,it,katsosi,fuck yeah,-0.3182
sfigati,it,sfiɡati,losers,-0.5267
ditalino,it,ditalino,fingering,0.0
inculare,it,inkulare,bugger,0.0
porco cane,it,porkokane,swine,0.0
stronzo,it,stronso,asshole,0.0
fare una sega,it,fareunaseɡa,jerk off,-0.34
va fangool,it,vafanɡool,va fangool,0.0
zoccole,it,sokole,sluts,-0.5719
avere un culo così grande,it,avereunkulokosiɡrande,having such a big ass,-0.5423
vai a farti fottere,it,vaiafartifotere,go fuck yourself,-0.5423
mignotte,it,miɲote,hookers,0.0
mangia merda,it,mandʒamerda,eat shit,-0.5574
ce l’hai piccolo,it,tʃelaipikolo,you have it small,0.0
mortacci tua,it,mortatʃitua,goddamn you,-0.4767
mezza sega,it,metsaseɡa,half saw,0.0
coglioni,it,koʎoni,assholes,-0.5859
fatti una pugnetta,it,fatiunapuɲeta,take a piss,-0.4019
bafangu chooch,it,bafanɡukook,bafangu chooch,0.0
vai a cacare,it,vaiakakare,go shit,-0.5574
stronza,it,stronsa,bitch,-0.5859
coglione,it,koʎone,asshole,0.0
posso leccare il tua figa,it,posolekareiltuafiɡa,I can lick your pussy,0.0
vai all’inferno,it,vaialinferno,go to hell,-0.6808
stronzi,it,stronsi,assholes,-0.5859
testa di minchia,it,testadiminkia,shithead,-0.6249
bocchino,it,bokino,mouthpiece,0.0
manache,it,manake,manache,0.0
segarsi,it,seɡarsi,sawing off,0.0
culattone,it,kulatone,fat ass,-0.5423
vaffanculo,it,vafankulo,fuck you,-0.5423
andare a puttane,it,andareaputane,whore oneself,-0.6486
culo,it,kulo,ass,-0.5423
sti cazza,it,stikatsa,sti cazza,0.0
bacha ma culo,it,bakamakulo,bacha ma ass,-0.5423
cacare,it,kakare,shit,-0.5574
essere un culo,it,esereunkulo,be an ass,-0.5423
minchia,it,minkia,minchia,0.0
dio cane!,it,diokane,GOD DOG!,0.3382
figa,it,fiɡa,pussy,0.0
sfigato,it,sfiɡato,loser,-0.5267
un pompino,it,unpompino,a blowjob,0.0
leccami il culo,it,lekamiilkulo,lick my ass,-0.5423
cacata,it,kakata,shit,-0.5574
troia,it,troia,slut,-0.5859
figlio di puttana,it,fiʎodiputana,son of a bitch,-0.5859
porca vacca,it,porkavaka,holy cow,0.0
pompini,it,pompini,blowjobs,0.0
leccaculo,it,lekakulo,ass-licker,0.0
figlio di Troia,it,fiʎoditroia,son of Troy,0.0
gnocca,it,ɲoka,pussy,0.0
latrin!,it,latrin,latrin!,0.0
porca miseria,it,porkamiseria,holy crap,-0.3818
che ti morisse  la mamma,it,ketimoriselamama,That your mother would die,-0.5994
minchia!,it,minkia,minchia!,0.0
sputtanare,it,sputanare,fuck up,-0.5423
che due palle,it,keduepale,what a pair of balls,0.0
zuia,it,suia,zuia,0.0
frocio,it,frotʃo,faggot,-0.6597
sborro,it,zboro,holy fucking mother of christ,0.0
santo cazzo madre di cristo,it,santokatsomadredikristo,cabbage,0.0
cavolo,it,kavolo,whore,-0.6486
mignotta,it,miɲota,swine,0.0
porco giuda,it,porkodʒuda,piss off,-0.4019
vai a cagare,it,vaiakaɡare,bullshit,-0.5859
cazzata,it,katsata,shit,-0.5574
merda,it,merda,darn,0.0
mannaggia,it,manadʒa,blowjob,0.0
pompinara,it,pompinara,sluts,-0.5719
troie,it,troie,assholes,-0.5859
i coglioni,it,ikoʎoni,fennel,0.0
finocchio,it,finokio,shit,-0.5574
cagare,it,kaɡare,sburro,0.0
sburro,it,zburo,minchiata,0.0
minchiata,it,minkiata,shit,-0.5574
smerdare,it,zmerdare,bitchiness,-0.5574
puttanata,it,putanata,mona,0.0
mona,it,mona,fava,0.0
fava,it,fava,ir gut of tu ma,0.0
ir budello di tu ma’,it,irbudelodituma,doggy-style,0.0
alla pecorina,it,alapekorina,ricchioni,0.0
ricchioni,it,rikioni,pussies,0.0
fighe,it,fiɡe,lick my pussy,0.0
leccami la figa,it,lekamilafiɡa,dick in the ass,-0.7783
cazzo in culo,it,katsoinkulo,what an ass,-0.5423
che culo,it,kekulo,I'll run your ass,-0.5423
ti corro in culo,it,tikoroinkulo,pump,0.0
pompinare,it,pompinare,go fuck yourself,-0.5423
va' a fare in culo,it,vaafareinkulo,holy shit,-0.5574
porca puttana,it,porkaputana,to fanabla!,0.0
a fanabla!,it,afanabla,screw you,-0.1027
fottiti,it,fotiti,baloney,0.0
baldracche,it,baldrake,minchione,0.0
minchione,it,minkione,ce un cibirut,0.0
ce un cibirut,it,tʃeuntʃibirut,to hell with it,-0.6808
al diavolo,it,aldiavolo,curut!,0.0
curnut!,it,kurnut,cuckold,0.0
cornuto,it,kornuto,for Christ's sake,0.0
porco iddio,it,porkoidio,mouthpieces,0.0
bocchini,it,bokini,That your mother would die,-0.5994
che ti morisse la madre,it,ketimoriselamadre,care to kick someone in the ass,-0.0772
care un calcio nel culo a qualcuno,it,kareunkaltʃonelkuloakualkuno,ditalini,0.0
ditalini,it,ditalini,swine god,0.2732
porco dio,it,porkodio,fart,0.0
scoreggia,it,ʃoredʒa,mone,0.0
mone,it,mone,darn,0.0
accidenti,it,atʃidenti,kick someone's ass,-0.5423
rompere il culo a qualcuno,it,rompereilkuloakualkuno,Spanish,0.0
spagnola,it,spaɲola,Get the fuck out of here.,-0.5423
vattela a pijà 'n der culo,it,vatelaapijanderkulo,fennel,0.0
finocchi,it,finoki,have a face like an ass,-0.25
avere la faccia come il culo,it,averelafatʃakomeilkulo,sfacim and shits,-0.4767
