Word,English Translation
concha,shell
carajo,fuck
chilito,chilito
joderse,fuck
costar un huevo,cost an egg
maldición,curse
mostacero,mostacero
tu madre es una estupida,your mother is stupid
pichacorta,pichacorta
we,we
pinche puta,fucking whore
mamon,sucker
huey,huey
"chinga tu madre, cabron","fuck your mother, motherfucker"
cojón,cushion
remojar el cochayuyo,soaking the cochayuyo
chichi,chichi
wea,wea
soplapollas,cocksucker
sucia,dirty
hueva,roe
pargo,snapper
te cogieron de pendejo,you were caught as an asshole
rabo,tail
me cago en el coño de tu madre,I shit on your mother's cunt
maricon,fag
hasta la madre,up to the mother
pinche idiota,fucking idiot
putain,putain
joto,joto
la cagada,the screw-up
te voy a romper la cara a trompadas,I'm going to beat your face to a pulp
cabrón,motherfucker
chingate,chingate
coño ,pussy
yo mataria tu,I would kill your
maraca,maraca
peras,pears
"no huyas, pendejo","don't run away, asshole"
tocarse las peras,touching one's pears
pete,pete
tarado,moron
cara de monda,monkey face
comerán mierda,will eat shit
maraco,maraco
plumífero,down jacket
mamaverga,mamaverga
cola,tail
que te den por culo,fuck you
invertido,inverted
una pendejada,an asshole
mariquita,ladybug
maricona,fag
agilipollado,agilipollado
pirobo,pyrobo
playo,beach
parcha,patch
joder,fuck
tontopollas,dumbass
jode a tu madre,fuck your mother
cojeme,fuck me
pinche,pinche
deje de ser tan pendejo,stop being such an asshole
la he jodido,I screwed up
chingóna,chingóna
trompada,punch
salchicha,sausage
las tetas,tits
chuchamadre,chuchamadre
choto,choto
cucaracha,cockroach
maldito,damn
homo,homo
negraco,black
tortillera,dyke
caray,heck
ojete,eyelet
puta,whore
pute,whore
chupamedias,sucker
chinga tu hermana,fuck your sister
comemierda,shit eater
plon,plon
julandrón,julandron
me importa tres cojones,I don't give a damn
tengo ganas,I feel like
trolo,troll
julai,julai
vete a la chingada,go to hell
putta,whore
panoche,panoche
vete al infierno,go to hell
hora,time
cojon,cojon
cara de panocha,panocha face
sarasa,sarasa
chotera,cholera
eres una marica,you are a faggot
vete a la mierda,go to hell
wa,wa
cojonazos,cojonazos
valió madre,it was worth it
chorra,chorra
mamapinga,mamapinga
bolas,balls
mojon,mojon
mamagüevos,mamagüevos
fundío,melted
nabo,turnip
guarra,slut
chingado,fuck
come mierda,eats shit
tocar los cojones,busting my balls
me cago en la virgen,holy shit
mamona,mamona
cabron,motherfucker
mamavergas,mamavergas
tonta,fool
cueco,cueco
jodido,fucking
conchatumadre,conchatumadre
se la metio,he put it in
le quedo una chimba,it was a chimba
gilipollas,asshole
pelos de los huevos,egg hairs
mal bicho,bad bug
metete un palo por el culo,shove a stick up your ass
me cago en la leche,FUCK MY FUCK!
verga dura,hard cock
me importa un huevo,I don't give a damn
huevada,huevada
cipote,cipote
chupame la polla,suck my dick
hijo de la chingada,son of a bitch
comecaca,comecaca
besame el culo,kiss my ass
zunga,zunga
estás puto,you're fucking
hijo de mil putas,son of a thousand whores
cara de pito,dick face
bombero,firefighter
chotaco,chotaco
desviado,deviated
cagaste y saltaste en la caca,you pooped and jumped in the poop
tu madre es una puta,your mother is a whore
métetelo por el culo,shove it up your ass
rosquete,rosquete
caracho,caracho
negrata,negrata
me encanta tu culo,I love your ass
garchar,garchar
madrear,madrear
tirate a un poso,jump into a well
una pendeja,an asshole
me cago,I shit
de cojones,fucking
puto,fucking
pinga,pinga
trucha,trout
calientapollas,cock warmer
jupa de pollo,chicken jupa
mondá,mondá
basura,garbage
fundillo,sleeve
valió verga,worthless
cundango,cundango
wey,wey
gonorrea,gonorrhea
pedazo,piece
madrazo,madrazo
banana,banana
porongo,porongo
me importa un cojón,I don't give a damn
macha,macha
no me jodas,don't fuck with me
