Word,English Translation
آب کیر,water.
آشغال,rubbish.
آلت تناسلی,penis.
آلت,The penis.
ابله,Stupid idiot.
ابن یزید,The son of Aaron.
احمق,Stupid fool.
اسب,Horse horse.
اسبی,Horse.
اسکل,Sacks.
اسکل,Sacks.
اسگل,Siggles.
اسگول,Gog.
الاغ,The donkey.
الاق,of the right.
انگل,parasite.
انی,O you.
انی,O you.
اوسکل,The Sword.
اوسکل,The Sword.
اوسگل,O'Sel.
اوصکل,The whole thing.
اوصگل,Or by the name.
ب ک,b.
باسن,hips.
بخورش,Eat it.
بدبخت,miserable.
بمال,by the
تخمم,My egg.
کیرم,I'm old.
بپرروش,So they jump.
بپرسرش,Ask them.
کونی,Consie.
بکارت,Use of you.
بکن توش,Do it in there.
بکنش,Do it.
بکنمت,I will do it.
خایه,And complain.
بی عفت,And it's amazing.
بی غیرت,"No, no."
بی ناموس,The nameless.
بی پدر,Fatherless Father.
بیابخورش,And it is unsounded.
بیشعور,Too much.
بیناموس,Between the words.
تخم سگ,Dog eggs.
تخمی,Eggs.
ترک,leave.
توله سگ,puppy.
جاکش,They are hiding.
جلق زدن,They complain.
جنده,A bitch.
جنسی,Sexual sex.
جوون,Young young.
جکس,Jack.
جیندا,Janeda.
حرومزاده,bastard.
حشر,They made it.
حشری شدن,They made it.
حشری,And they voted.
حیوانی,Animal animal
خارکس ده,The Tens.
خارکسده,And the shit.
خارکسّه,The shit.
خانم جنده,Mrs. bitch.
خایه خور,and complain.
خایه مال,They complain.
خایه,And complain.
خر,Stupid shit.
خرفت,Buy it.
خری,The donkey.
خز,fur.
خفه خون,Shutting blood.
خفه شو,Shut up.
خواهرجنده,Sister.
خی کاس,The Cass.
داف ناز,Duffice.
داف,Duff.
داگ استایل,Dog style.
دخترجنده,The girl.
دخترقرتی,The girl.
درازگوش,The long tail.
دله,The heart.
دهن سرویس,Mouth service.
گاییده,Gay.
دهنت سرویس,Mouth service.
دوجنسه,Two sexes.
دول,The two.
دیوث,Ditmouth.
دیوس خان,Dius Khan
دیوس,Dius
دیوص,Dave.
رشتی, رشت
ریدن,Reed.
ریدی,Reed.
زارت,You are hungry.
زباله,waste.
زرنزن,The Magician.
زن جنده,A bitch.
زن کاسده,Mrs. Cass.
زنا زاده,Marriages.
زنا,adultery.
زنازاده,Marriage of the bastard.
زنتو,The woman.
زنشو,The woman.
زنیکه,The woman.
سادیسمی,sadism.
ساک,The bag.
ساکونی,Sakoni.
سرخور,So tired.
سرکیر,Sir.
سسکی,Saskisky.
سوراخ کون,as a hole.
سوراخ کون,as a hole.
سولاخ,Socher.
سکس چت,Sex chat.
سکس,Sex sex.
سکسی باش,Be sexy.
سکسی,Sexy.
سکسیم,Sex.
سکسیی,Sexy.
سگ تو روحت,Your dog is your soul.
سگ دهن,Dog.
سگ صفت,Dog's word.
سگ پدر,Father's Dog.
سگی,Dog.
سیکتیر,Cookies.
شاسگول,Shayle.
شاش,She's Shaw.
شق کردن,Disarray.
شل مغز,Shell brain.
شنگول,sandy.
شهوتی,Lovely lust.
صیغه ای,And you have an excuse.
صیک,A p.
عرب,Arab Arabs
عرق خور,sweaty.
عمتو,My uncle.
عمه ننه,No aunt.
عن تر,more i.e.
عن,i.e.
عنتر,More than the
عوضی,The bastard.
غرمساق,Fuck the shit.
غرمصاق,They complain.
فاحشه خانم,Mrs. prostitute.
فاحشه,prostitute.
فارس,Persian Gulf.
فاک فیس,Facebook's word.
فیلم سوپر,Super film.
قرتی, قر
قرمساق, قر
قرمصاق, قر
قس, ق
لا پا,La feet.
لاس,Las Vegas
لاش گوشت,The meat.
لاشی,Lashi.
لاکونی,The Lockheed
لجن,And the seed.
لخت,naked naked naked.
لختی,naked.
لر,Jack.
لز,Les.
مادر جنده,The bastard mother.
مادرجنده,The mother.
مادرسگ,Mother Dog.
مادرقهوه,Coffee mother.
مادرکونی,Mother of Kui.
مالوندن,Malmond.
ماچ کردنی,Make me laugh.
مرتیکه,And the
مردیکه,A man who
مرض داری,You have a disease.
مرضداری,Sickness.
مشروب,Drink alcohol.
ملنگ,Melang.
ممه خور,I'm sorry.
ممه,I am sorry.
منگل,Menge.
میخوریش,You eat it.
نرکده,Not a horse.
نعشه,They did not.
نکبت,Bad shit.
نگاییدم,Look at me.
هیز,Hey hey hey.
ولدزنا,Volsina.
پدر سوخته,Father burned.
پدر سگ,Father of Dog.
پدر صلواتی,Father of prayer.
پدرسگ,Father Dog.
پریود,A period of time.
پستان,breast breast breast breast.
پسون,And then he was.
پشمام,I am tired.
پفیوز,Suffice.
پلشت,Paul.
پورن,porn porn.
پپه,Pepe.
چاغال,The fuck.
چاقال,Fatal fat.
چس خور,The bite.
چس,Chas.
کاسکش,Cass.
کث لیس,The lick.
کث,The KTH.
کثافت,Stupid shit.
کثافط,Contribute.
کردن,Making it.
کردنی,Kennedy.
کرم,The worm.
کس خل,Who is wrong.
کس خور,Who's eating.
کس خیس,Someone wet.
کس دادن,Giving someone.
کس لیس,Who is Lisa.
کس لیسیدن,Someone is licking.
کس ننت,Nobody.
کس و کیر,Who and Kir
کس کردن,Kill someone.
کس کش,Who's holding.
کس,Someone.
کسخل,And who is wrong.
کسشعر,Who's Poetry.
کسکش,And the one who knows.
کسکیر,Who is Freder.
کص خل,The shit.
کص لیس,lick.
کص,C.
کصافت,You are right.
کصافط,And the right thing.
کصخل,The Magician.
کصکش,They are the receiver.
کلفت,thick.
کله کیری,The head of Kiri.
کوث لیس,Colosse.
کوس خل,The shit.
کوس خور,I'm sorry.
کوس لیس,The slick.
کوس,ko.
کوص خل,The shit.
کوص لیس,The lick.
کوص,Coke.
کون تپل,As T.
کون ده,Number ten.
کون سوراخ,The hole.
کون پنیر,The cheese.
کون گنده,Big as.
کون,Conta.
کونده خار,And the shit.
کونده خوار,They are hungry.
کونده,Fuck the cat.
کونشو,Asshu.
کونی,Consie.
کونی,Consie.
کیر,Kir.
کیردراز,Cinders.
کیردوس,Kird.
کیرر,Kerr.
کیرمکیدن,Cookie.
کیرناز,Keren.
کیروکس,Kirox
کیروکس,Kirox
کیری,Cir.
گاو,Cow cows.
گاوی,Cow.
گاگول,Gogol.
گایدن,Gasting.
گایدی,Guyy.
گاییدن,Gaye.
گردن دراز,The long neck.
گشاد,and wide.
گوز,Goes.
گوزو,Gozo.
گوسفند,sheep.
گوش دراز,Long ears.
گوه,Go.
گوه,Go.
گی زن,Gay woman.
گیخوار,Gayty.
یبن زنا,Marriage of adultery.
مادرتو,Mother.
ناموستو,Names.
چنده,A few.
باسنی,The hip.
سیکیم,Skem.
سگ ناموس,Dog named
نوب,"No, no."
خایمال,خای
مادر به خطا,Mother to error.
کصلیس,The Cross.
بکنت,Do you do it.
کصده,Kundice.
گورومساخ,Goremunda.
پوفیوز,Puffice.
پدرتو,Father.
قورومساق,The chorus.
سیهدیر,The CALLER.
اوبی,Oh Abby.
مادر سگ,Mother of Dog.
نگایدم,Look at me.
