Word,English Translation
connard,asshole
je m’en fou,I don't care
je m’en fous,I don't care
t’as intérêt ne pas m’énervé,you better not piss me off
je m’en fiche,I don't care
emmerdeur,pain in the ass
mange de la merde,eat shit
je veux faire l’amour avec toi,i want to make love to you
papier q,paper q
ça me fait chier,it pisses me off
ducon,ducon
t’es rien qu’un petit connard,you're nothing but a little prick
putain de merde,FUCKING SHIT
s’en foutre,don't care
va te faire enculer,fuck you
tu es con,you're an idiot
je me fais chier,I'm bored
"meurs, pute","die, whore"
batard,batard
pétasse,cunt
dégage,clear
tu fais chier,you're a pain in the ass
enfoiré,bastard
ma couille,my ball
chiante,annoying
nom de dieu,in the name of god
ta race,your race
mes couilles en toi,my balls inside you
une casse-couille,a pain in the ass
rien à branler,give a shit
ça fait shier,it's shier
pq,pq
chatte,pussy
baise moi mor,fuck me mor
couille,ball
c’est pas con,it's not stupid
crève la gueule ouverte,die with your mouth open
j’ai baisé ta mère,i fucked your mother
sale,dirty
branleur,wanker
couillon,coward
bachie coupe,bachie cut
baise,fuck
enfoirée,bastard
va te faire foutre,fuck you
allez,go to
je t’emmerde,screw you
enculée,motherfucker
"oh, merde","oh, shit"
c’est vraiment de ta faute,it's really your fault
ça craint,it sucks
dégueu,gross
s’en branler,give a fuck
cul,ass
va t’en,go away
couilles,balls
casse-toi,get lost
niquer,fuck
pédé,fag
idiote,silly
putain,whore
j’ai envie de chier,I want to shit
t’es un salaud,you're a bastard
foutre le bordel,making a mess
vous sentez comme le boeuf et le fromage,you smell like beef and cheese
gross cul,fat ass
chiant,boring
quel salaud,what a bastard
je me suis fait baiser,I got screwed
imbécile,fool
film de cul,sex film
s’en foutre de,don't care about
crève la gueule ouverte!,die with your mouth open!
fais chier,screw it
rien à foutre,screw it
sac vin,wine bag
petit tabernac,petit tabernac
tu me gonfles,you piss me off
pédale,pedal
avale mes couilles,swallow my balls
un casse-couille,a pain in the ass
con,con
c’est con,it's stupid
du pq,of the pq
face de cul,butt face
branleur de chiens morts,dead dog wanker
ta mere suce des bites en enfer,your mother sucks cocks in hell
merdasse,merdasse
se taire,hush
salope,bitch
vas faire foutre a la vache,fuck the cow
emmerdeuse,pain in the ass
prendre pour une conne,take for a fool
sac merde,shit bag
c’est quoi ce bordel,what the hell
à  chier,crap
enculer les mouches,fuck the flies
rien à foutre de,nothing to do with
trou du cul,asshole
salaud,bastard
bite,cock
merde embulante,emblematic shit
ta gueule,shut up
ça pue,it stinks
j’en ai ral le bol,i'm fed up
t’as pas de couilles,you've got no balls
mange ma bite,eat my cock
sa race,its breed
ta mere la pute,ta mere la pute
tu commence m’enmerder,you're starting to piss me off
idiot,idiot
petite pute,little whore
tu et un ane,tu et un ane
frambler,frambler
 je me fais chier,I'm bored
emmerder,screw
vous vissez,you screw
bordel,brothel
oh putain de merde,oh for fuck's sake
se foutre dans la merde,getting into trouble
connasse,bitch
note from benjamin,note from benjamin
conneries,bullshit
foutre,fuck
laisse-moi tranquille,leave me alone
baiser,kiss
je te nique ta race sale fils de chien,I'll fuck your race you son of a dog
putain de,fucking
branler,wank
aller se faire foutre,fuck off
foutre la merde,make a mess
j’en ai plus rien à foutre,I don't give a fuck anymore
je m’en bats les couilles,I don't give a fuck
ce mécanicien m’a bien baisé,this mechanic screwed me over
garce,bitch
casser les couilles,busting balls
zut,zut
dégénéré,degenerate
bordel de merde,for fuck's sake
enculer une mouche,fuck a fly
brûle en enfer,burns in hell
de merde,of shit
abruti,moron
ça schlingue,ça schlingue
couillonne,couillonne
vous êtes stupide,you're stupid
dégueulasse,disgusting
framble,aspen
tais-toi,shut up
trouduc,asshole
nique ta mère,fuck your mother
ferme ta gueule,shut your mouth
conne,connect
enculé,motherfucker
partir en couille,going to the dogs
crétin,moron
chier,chier
baise toi,fuck you
pute,whore
j’en ai ral le cul,it's slowing my ass down
merde,shit
putain t’es moche,you're fucking ugly
connerie,bullshit
prendre pour un con,take for a fool
debile,moron
ne rien foutre,do nothing
t’es débile,you're an idiot
rien à branler ,give a shit
la vache,the cow
je pis dans ta bouche,I pee in your mouth
qu’est-ce que tu branles,what the hell are you doing
putain de bordel de merde,for fuck's sake
se casser,break
je m’en fous pas mal,I don't really care
fils de pute,son of a bitch
faire chier,piss off
enculer,fuck
il est stupide,he's stupid
branler – to jerk off,branler - to jerk off
j’en ai marre,i'm fed up
