Word,English Translation
prendere per il culo,take the piss
a pecorina,doggy-style
baldracca,whore
porca madonna,holy mother of God
che due palle,what a pair of balls
intro culo di mammata,intro mama's ass
sembri un peni,you look like a penis
che due coglioni,what two assholes
pezzo di merda,piece of shit
fica,cunt
va’ a fare in culo,go fuck yourself
puttanaio,whorehouse
tua mamma bocchinara,your mouthy mom
ma’ va te ne a fanculo,ma go fuck yourself
scoregge,farts
faccia a culo,assface
cazzo si,fuck yeah
sfigati,losers
ditalino,fingering
inculare,bugger
porco cane,swine
stronzo,asshole
fare una sega,jerk off
va fangool,va fangool
zoccole,sluts
avere un culo così grande,having such a big ass
vai a farti fottere,go fuck yourself
mignotte,hookers
mangia merda,eat shit
ce l’hai piccolo,you have it small
mortacci tua,goddamn you
mezza sega,half saw
coglioni,assholes
fatti una pugnetta,take a piss
bafangu chooch,bafangu chooch
vai a cacare,go shit
stronza,bitch
coglione,asshole
posso leccare il tua figa,I can lick your pussy
vai all’inferno,go to hell
stronzi,assholes
testa di minchia,shithead
bocchino,mouthpiece
manache,manache
segarsi,sawing off
culattone,fat ass
vaffanculo,fuck you
andare a puttane,whore oneself
culo,ass
sti cazza,sti cazza
bacha ma culo,bacha ma ass
cacare,shit
essere un culo,be an ass
minchia,minchia
dio cane!,GOD DOG!
figa,pussy
sfigato,loser
un pompino,a blowjob
leccami il culo,lick my ass
cacata,shit
troia,slut
figlio di puttana,son of a bitch
porca vacca,holy cow
pompini,blowjobs
leccaculo,ass-licker
figlio di Troia,son of Troy
gnocca,pussy
latrin!,latrin!
porca miseria ,holy crap
che ti morisse  la mamma,That your mother would die
minchia!,minchia!
sputtanare,fuck up
che due palle,what a pair of balls
zuia,zuia
frocio,faggot
santo cazzo madre di cristo,holy fucking mother of christ
cavolo,cabbage
mignotta,whore
porco giuda,swine
vai a cagare,piss off
cazzata,bullshit
merda,shit
mannaggia,darn
pompinara,blowjob
troie,sluts
i coglioni,assholes
finocchio,fennel
cagare,shit
sburro,sburro
minchiata,minchiata
smerdare,shit
puttanata,bitchiness
mona,mona
fava,fava
ir budello di tu ma’,ir gut of tu ma
alla pecorina,doggy-style
ricchioni,ricchioni
fighe,pussies
leccami la figa,lick my pussy
cazzo in culo,dick in the ass
che culo,what an ass
ti corro in culo,I'll run your ass
pompinare,pump
va' a fare in culo,go fuck yourself
porca puttana,holy shit
a fanabla!,to fanabla!
fottiti,screw you
baldracche,baloney
minchione,minchione
ce un cibirut,ce un cibirut
al diavolo,to hell with it
curnut!,curut!
cornuto,cuckold
 porco iddio,for Christ's sake
bocchini,mouthpieces
che ti morisse la madre,That your mother would die
care un calcio nel culo a qualcuno,care to kick someone in the ass
ditalini,ditalini
porco dio,swine god
scoreggia,fart
mone,mone
accidenti,darn
rompere il culo a qualcuno,kick someone's ass
spagnola,Spanish
vattela a pijà 'n der culo,Get the fuck out of here.
finocchi,fennel
avere la faccia come il culo,have a face like an ass
sfacim e merde,sfacim and shits
maiala,pig
porca miseria,holy crap
cagacazzo,shitter
segaiolo,wanker
cornuti,cuckolds
pompinaro,pumping
zoccola,slut
rotto nel culo,broken in the ass
minchie,minchie
culi,asses
incazzarsi,get pissed off
fottere,fuck
fongoul,fongoul
sfiga,jinx
cazzeggiare,dicking around
dio cangurello,kangaroo god
vai a vendere il culo,go sell your ass
che cazzo,what the fuck
mangia merde e morte,eat shit and death
mimbominkia,mimbominkia
accidenti!,Geez!
scopare,fuck
"vai a farti fottere, puttana!","go fuck yourself, bitch!"
ti ammazzo,I will kill you
cagata,crap
ricchione,fag
bastardo,bastard
seghe,saws
puttana,whore
vai a dar via il culo,go give your ass away
cazzo Madre di dio,fucking Mother of God
pompino,blowjob
sborra,cum
tu piezza di merda!,you piece of shit!
figlio un cane,son a dog
gran’ disgraziato,big wretch
andare a puttane:,going to whores:
puttaniere,whoremonger
mafankulo,mafankulo
porca troia,holy shit
cazzi,dicks
porca eva,holy crap
che te pozzino ammazza!,that they can kill you!
sbora,sbora
testa di cazzo,shithead
cretino,jerk
che palle,that sucks
bastardi,bastards
rottinculo,rottinculo
dio santo!,GOD.
segone,tallow
sega,saw
sborrare,cum
cazzo,fuck
gnocche,chicks
mannaggia tua,dang you
nessuno mi unfungulo,no one unfungulo me
cazzo di merda,fucking shit
Testa di minchia,Dickhead
fiche,chip
tu ma’ piscia in piedi,you ma pees standing up
brutto figlio di puttana bastardo,ugly son of a bitch bastard
froci,faggots
puttane,whores
