Word,English Translation
filho da puta,son of a bitch
pisso,pisso
puta que pariu,Holy shit
cabra,goat
escroto,scrotum
saco de merda,bag of shit
cracudo,crackpot
foder,fuck
vai se foder,fuck you
vagabundo,tramp
porra,fuck
pra caralho,for fuck's sake
broche,brooch
pixota,pixota
chupa meu pau,suck my cock
pau,stick
galinha,chicken
cacete,cock
bicha,queer
arrombado,broken into
pica,pica
rego do cu,asshole
piça,cock
corno,cuckold
negão,black
merda,shit
xoxota,pussy
boquete,blowjob
olho do cu,asshole
chupa-mos,we suck
peido,fart
mijar,piss
sapatão,slut
mouro,Moorish
siririca,siririca
foda,fuck
cu,ass
foda-se,fuck
vai apanhar no cu,get your ass kicked
fodido,fucked
vai pro caralho,fuck off
teu cu,your ass
minete,minete
babaca,asshole
mamada,blowjob
cona,cunt
paneleiro,faggot
cachorro,dog
pachacha,pachacha
trepar,climb
piroca,dick
enrabar,screw
do caralho,fucking
negro,black
cachorra,puppy
bobo,silly
puta merda,Holy shit
fode-te,fuck you
piranha,piranha
caralho,fuck
escrota,scrooge
punheta,wank
vai tomar no cu,fuck off
cabrão,motherfucker
viado,faggot
rata,pussy
que porra é essa,what the fuck is this
canalha,scoundrel
cagar,shit
preto,black
encher o saco,fill your bag
pito,pito
badalhoca,badass
trouxa,fool
sacanagem,"[Error: Too many requests, DeepL servers are currently experiencing high load]"
puta,whore
"vai para o caralho, vai-te foder","fuck you, fuck off"
monte de merda,pile of shit
boiola,faggot
vai mamar na quinta pata do cavalo,go suck the horse's fifth leg
brocha,broach
moor,moor
caceta,cunt
buceta,pussy
pila,cock
porra nenhuma,fucking nothing
badalhoco,clown
vaca,cow
nem fodendo,no fucking way
