Word,English Translation
блядина,whore
закрой рот,shut your mouth
чушка,stuffed animal
куни,cunny
жидоёбское,Jew
тварь,creature
мымра,mummy
пасть забей,shut your mouth.
еврей,Jew
падла ебаная,fucking asshole
выблядок,scumbag
алкоголик,alcoholic
гандон штопаный,douche bag
зануда,nerd
пендосия,pandosia
сука,bitch
пидор,faggot
страхоёбище,motherfucker
срака,asshole
бомж,bum
радужный мальчик,rainbow boy
стоячек,riser
взбляд,prying
а хули,what the fuck
святоша,saint
ёбаный стос,fucking stos
алень,stag
пиздоблошка,cunt
хуедин,Huedin
нихуя,fuck
голуби,pigeons
пришью,sew
гнойный,purulent
блядский,fucking
наебнуться,fuck up
мухосоранск,mukhosoransk
елдак,dick
наеб,fuck
хуеман,hueman
хуйня,bullshit
доебались,fucked up
выебон,fuck
хуле,hoole
змея,snake
волосня,hair
чучмен,choochman
на хуя,for fuck's sake
обламаться,screw up
мерхавеч,merhavec
барыга,bargainer
дерьмоед,turd
ебанулось,fucked up
дупло,hollow
присунуть,poke
ахуел,fuck
блядское,fucking
настреляли по пиздюлятору,shot the pussy.
ебанько,fucker
манья,mania
спиздить,snatch
ебанула,fucked
выблядовал,ogled
скотоёб,cattle eater
обосцать,shit
однохуйственно,fucked
менты,mentors
наебнулась,fucked up
ёбнул,fucked
стоячок,riser
блядская,fucking
распиздошила,fucked up
блядство,fucking
шоха,shoja
жидоёбский,Jew
дерьмохеропиздократия,"[Error: Too many requests, DeepL servers are currently experiencing high load]"
прихуел,fucked up
деревня,village
дурак,fool
сволочь,bastard
писька,pussy
молокосос,sucker
злоебучий,wicked
опездол,opezdol
радужный,rainbow
дрянь,crap
пошел нахуй,Fuck you.
еблище,fuck
лось,moose
сексист,sexist
ебальный станок,fucking machine
свинтус,pig
рак мозга,brain cancer
жидоёбка,Jew fucker
дать пизды,pussyfoot
многопиздная,multifucked
трахнуть,fuck
пиздовладелец,cunt owner
ебля,fucking
иди к черту,go to hell.
нахуй,fuck
распиздяй,asshole
малолетка,juvenile
голубятня,dovecote
змея подколодная,pit snake
очко,point
передернуть,twitch
блядемудиный пиздопроёб,fucking cunt fucker.
присунул,poked
казел,asshole
импотент,impotent
навешать пиздюлей,pussyfoot around
мне до лампочки,I don't care.
хули,fuck
остоебать,fuck off
сукин сын,son of a bitch
пососи мои яйца,Suck my balls.
писюн,dick
хуй на тебя,fuck you.
хохол,khohol
без пизды,without the pussy.
мудозвод,husbandry
как ёб твою мать,like a motherfucker.
член,dick
под юбкой,under the skirt
хуйло,dickhead
жополиз,asshole
подонок,scumbag
наёб,fuck
говно,shit
путана,slut
заебала,fucked up
допизды,fuck it
елда,faggot
дерево,wood
проститутка,prostitute
еб тебя,fuck you
отъебись,fuck off
гнида,rot
хитровыебанный,dodgy
козел,goat
залупа,asshole
еб,eb
облом,bummer
не пудри мозги,don't mess with me.
вьебал,fucked
"вдруг, откуда ни возьмись, появился в рот ебись","all of a sudden, out of nowhere, there's a fuck you"
изъебнулся,fucked up
ебни,ebony
жопа,asshole
руки из жопы,hands out of ass
выебнуться,fuck off
мудила,asshole
пиздобратия,cuntocracy
гобиться,hobble
педик,faggot
дура,fool
бадяжить,potion
деревеньщина,hillbilly
наблядовал,gawked
голубой,blue
распиздяйка,cunt
капрофил,caprofil
доебалась,fucked up
ёбкость,yobbishness
страть тебе в рот,Fuck you in the mouth.
опиздоумел,asshole
хитровыебанная,dodgy
говнюк,asshole
засранец,asshole
дерьмо,crap
осёд,sedge
заёб,fuck
целкa,virgin
еблан,fucker
ебанёшься,fuck off
ебанулся,fucked up
гей,gay
дерьмохеропиздократ,shithead cocksucker
шлюха,whore
кнь педальный,pedal knee
пиздец,fuck
удавись,blow yourself
развалюха,wreck
шут,buffoon
нахуярить,fuck up
ебашит,fucks
прыщавый,pimply
крыша поехала,crazy
у меня стоит,I have
выёбывается,fucking around
яйца,eggs
слоняра,elephant
обламатся,screw up
хер,dick
какого черта,what the hell
феменистка,feminist
заебал,fucked up
ебланка,fucker
крыса,rat
 да пошел тыпошел ты,Fuck you. Fuck you.
фалос,phalos
фапать,fap
черт возми,damn it
гнусный,vile
машонка,mashonka
пидоростия,faggotry
трахаться,fuck
пофапать,fan out
ебальник разинул,fucked up
пиздрик,cunt
дуплоящер,duplicator
вжопу,asshole
я тебя в рот ебал,I fucked you in the mouth.
сцать,piss
подъёбки,jokes
ебаная сука,fucking bitch
объебала,pissed off
яйчелы,ovules
наебали,fucked up
хуй тебе в жопу,dick up your ass.
ты дегенерат,you degenerate.
объебал,fucked up
заебёшь мёртвого,fuck a dead man.
косяк,joint
хуелес,hueless
баба,baba
кощей,catfish
осел,donkey
наебнулся,fucked up
 пососи ми яйчелы,Suck my balls.
болван,moron
черножепый,nigger
еб твою мать,Fucking hell.
овца,sheep
нахуяриться,fuck up
остоебал,fucked up
пиздецкое,fucked
ёбаная сука,fucking bitch
отсоси потом проси,"Blow me, then ask me."
как мухи на говно,like flies on shit
коза,goat
одень,put on
феменизм,feminism
алкаш,alkie
пизда,cunt
пондостания,ponditions
уебался,fucked up
хесосо,jesoso
маза факер,maza faker
пасть,mouth
опущеный,omitted
деревянный,wooden
ебанул,fucked
ахуй,fuck
блядь,fuck
чурка,chump
пиздодушие,cuntishness
объебали,fucked up
пердун старый,old fart
пьянь,drunk
пиздецкий,fucked
пиздопляска,cunt dance
глупизди,stupid
оберблядь,cunt
соси писос,Suck a pussy.
ёб,yob
спиздила,snatched
оскотоёбился,fucked up
хуевина,cocksucker
блядистость,whoredom
пендос,pendo
пиздабол,cunt
козлоёбина,goat fucker
изъебнуться,fuck up
лох,sucker
трах,fuck
убью,kill
мамку,mom
соси хуй,suck a dick
ленивая жопа,lazy ass
подпиздывает,pussyfooting
кресты,crosses
некрофил,necrophiliac
пендостан,Pendostan
мудачье,asshole
мудак,asshole
скотоёбина,bastard
нигретов,nigretovs
нет яиц,no eggs
жидоёбские,Jew fuckers
забить хуй,fuck off
насрать,give a shit
свинья,pig
стояк,riser
убъю,kill
дувушка по вызову,call girl
ботаник,botanist
разъебали,fucked up
спиздил,snatched
козлоёб,asshole
бурда,bourda
наркоту,dope
хуй на нее,fuck her
член тебе в рот,dick in your mouth
рак,cancer
бля,fuck
сосать,suck
завали ебало,shut the fuck up
писос,scribe
промежность,perineum
соска,pacifier
хуй тебе,fuck you
пиздоёбищность,cuntishness
обосцыш,shit
ебало,fuckface
дрянной,trashy
да хуй его не возьмёт,the fuck he won't take it.
сосунок,sucker
заебать,fuck up
падла,asshole
бляхомудия,blachomudia
завали рот,shut your mouth
уебалась,fucked
подзалупный,subalarial
мондавошки,mondavos
в жопу,up my ass
шестерка,six
срать на тебя,shit on you.
ебанат вонючий,fucking stinker
уёбище,motherfucker
жидоёб,Jew fucker
нига,niga
предатель,traitor
хуй моржерый,motherfucker
ебёт в рот и в жопу,Fucking in the mouth and in the ass.
шут гороховый,pea jester
подофил,podophile
лолита,lolita
пендостания,pendocracies
пиздуй,fuck off
не хначь,No shit.
высший пиздец,ultimate fuck-up
долбаеб,dickhead
пиздун,cunt
алкашная,alkali
мошонка,scrotum
малоебущий,fucked-up
слон,elephant
распиздошить,cuss out
трепездон,trepisdon
чухмен,chukhman
доебался,fucked up
ебаная блядь,fucking bitch
пидорас,faggot
пиздобрат,cunt
подпиздываеть,pussy
да ебал я,Fuck me.
нахуя,for fuck's sake
черт,damn
баба яга,baba yaga
соси член,suck a dick
прокаженный,leper
козлоёбище,asshole
уебаться,fuck off
ебани,fuck
дурак несчастный,miserable fool
выебываться,fuck off
пасть закрой,shut your mouth
гандон,dickhead
греблядь,rowing
заебали,fucked up
ошибка природы,mistake of nature
поебень,fuck
ты дурак,you're a fool.
ёб твою мать,Fucking hell.
остоебала,stooge
остоебали,fucked up
пиздецкая,fucked
пёзды,cunts
я твою мамку ебал,I fucked your mom.
похуй,fuck
балван,spoilsport
ебаный карась,fucking carp
завали пасть,shut your mouth
черт побери,damn it
дегенерат,degenerate
азер,Azer
голоёбица,naked cunt
москали,Muscals
у меня встал,I'm up.
пиздомания,cunt addiction
гаишник,traffic cop
уебки,fuckers
выёбываются,fuck off
трепездонит,codpiece
халявочник,freeloader
исчезни,disappear
залупа коская,asshole
на хуй,fuck off
секс,sex
объебательство,embarrassment
сучьи сын,son of a bitch
блоха,flea
впиздячил,fucked up
пердун,fart
выебываешься,fucking around
уёбищенски,ugly
факер,facer
лабизаться,labialize
срачище,scramble
мордобой,pugilism
окаченел,petrified
хуёво,fucked
хуйню нести,bullshit
забил хуй,fucked up.
жук навозный,dung beetle
сучара,bitch
наротан,naratan
минет,blowjob
я твою маму ебал,I fucked your mom.
говносос,shit sucker
гадушник,gadushnik
шароёбится,wobbling
халява,freebies
нигер,nigger
сучка,bitch
конченый,finished
рачина,rachina
доебаться,fuck off
наебашился,fucked up
сосихуйский,Sosikhui
ебать,fuck
головка от хуя,dick head
ведьма,witch
крышка,cover
крысеныш,little rat
пошел на хуй,Fuck you.
пидоростан,faggot
заебись,fucking great
ченый,black
засунь в жопу,shove it up your ass.
конча,cum
дубина,cudgel
очкун,goggle
москаль,Muscal
долбаебка,motherfucker
косоёбится,squint
мондавошка,mondawoshka
нимфоманка,nymphomaniac
ебанулась,fucked up
подъёбка,banter
жидоёбская,Jew
объебать,fuck around
изъебнулась,fucked up
трахал,fucked
наебщики,fuckers
выёбываться,fuck off
иди нахуй,Fuck you.
косячок,joint
мамка,mom
запад,west
херотень,bullshit
даун,down
бля буду,I fucking will.
жопу порву маргала выкалю,"I'm gonna tear my ass up, I'm gonna roll out the margal."
