Word,English Translation
肏,fuck (vulgar)
操,drill (practice)
他妈的,(taboo curse) damn it!
去你的,Go hell!
你妈的屄,You fucking cunt.
肏你妈,fuck your mother (vulgar)
肏你妈的屄,Fuck your mom's cunt.
干你妈,Fuck you!
干你娘,Fuck you!
王八,tortoise
王八旦,turtle's egg (highly offensive when directed at sb)
龟孙子,(coll.) bastard
杂种,son-of-a-bitch
混蛋,asshole
犯贱,lowly
招贬,disparage
低三下四,servile
狗腿子,fig. one who follows a villain
拍马屁,boot-licking
神经病,mental disorder
变态,perverted (slang)
脑残,brain-dead (derogatory)
白痴,idiocy
笨蛋,geek
傻子,a fool
残废,garbled
智障,learning difficulties (handicap)
我尻,I'll do it.
婊子,prostitute
婊子,prostitute
三八,stupid
混账,absolutely disgraceful!
滚蛋,beat it!
傻子,a fool
呆子,sucker
惡棍,bully
神棍,sorcerer
窝囊废,good-for-nothing
废物,landfills
废人,handicapped person
废话,No kidding! (gently sarcastic)
流氓,hooliganism
人渣,dregs of society
畜生,bastard
禽兽,birds and animals
贱货,slut
骚货,loose woman
去死,go hell!
该死,damned
找死,court death
吃屎,fall flat on one's face (vulgar)
放屁,break wind
屎蛋,feces
没屁用,useless
有屁用,(coll.) be useless
屁话,shit
狗崽子,bastard
狗屁,nonsense
狗屁不通,unintelligible as shit
狗日的,bastard
狗杂种,bastard
杂种,son-of-a-bitch
走狗,hunting dog
狗腿子,fig. one who follows a villain
滚开,boil (of liquid)
滚蛋,beat it!
屌,fuck (Cantonese)
臭閪,smelly wench
鸠,"penis (slang, esp. Cantonese)"
柒头,seven (banker's anti-fraud numeral)
傻逼,idiot
曹尼玛,Tsang Nyima.
草泥马,grass mud horse
操你妈,Fuck you!
去死吧,Go to hell.
傻叼,stupid
