Phoneme,CorrelationWithValence,SoundClass
m,-0.36019188896340887,nasal
ɾ,-0.3098706606692233,approximant
a,-0.26330198346130296,vowel
ɡ,-0.2565799263864708,plosive
ʃ,-0.2428491624576476,fricative
t,-0.22960850121062706,plosive
i,-0.12746624980818458,vowel
f,-0.12707439033706733,fricative
ɲ,-0.12523099736281476,nasal
k,-0.12175184467020281,plosive
e,-0.1089585324354759,vowel
b,-0.06838867008055532,plosive
d,-0.06664475319209129,plosive
w,-0.06413586910922561,approximant
n,-0.04207285964923078,nasal
u,-0.02876066671099199,vowel
r,0.003138688859429251,approximant
j,0.030488865893532908,approximant
l,0.03778348398093475,approximant
o,0.04937046983798329,vowel
ʝ,0.0725778894115832,fricative
p,0.14041179872393064,plosive
s,0.1714435382357865,fricative
x,0.3011902252098491,fricative
