Phoneme,CorrelationWithValence,SoundClass
ɑ,-0.23349811623614158,vowel
z,-0.19227393804827372,fricative
œ,-0.18238173116327247,vowel
w,-0.09864661457703126,approximant
o,-0.08472733078876536,vowel
ʃ,-0.07296845296941602,fricative
f,-0.049563573888258626,fricative
ɡ,-0.038329199864678004,plosive
i,-0.0031651463482203096,vowel
e,0.010585637031882407,vowel
y,0.013778025771225104,vowel
k,0.03207806552897698,plosive
s,0.042546545672873186,fricative
ʀ,0.04880608477930933,approximant
l,0.06117140747467822,approximant
a,0.06230138038350881,vowel
ɛ,0.09790669824302657,vowel
ə,0.10554343913752935,vowel
ɔ,0.11323190203199585,vowel
b,0.11648491413071788,plosive
d,0.12204873694790386,plosive
m,0.13239055222123985,nasal
v,0.1334249469995825,fricative
j,0.19480745286840412,approximant
p,0.203036574743409,plosive
ʒ,0.25599077833860967,fricative
t,0.2697969770379131,plosive
u,0.2901115498853641,vowel
n,0.291266050577708,nasal
