Phoneme,CorrelationWithValence,SoundClass
e,-0.24650997901729413,vowel
ʃ,-0.220498809939354,fricative
n,-0.10189486113489725,nasal
m,-0.10034696253104884,nasal
a,-0.09721445936117529,vowel
d,-0.07889211754222966,plosive
t,-0.06572663475113308,plosive
ɡ,-0.053307909843974696,plosive
f,-0.04656496825061195,fricative
l,-0.0375077277743032,approximant
u,0.00794198252141478,vowel
ʒ,0.016751291470132264,fricative
ɲ,0.022858954486320547,nasal
b,0.022943239454276274,plosive
p,0.02827379306694054,plosive
s,0.0349909408291052,fricative
z,0.04680600267944727,fricative
v,0.05527530256646022,fricative
ʎ,0.07075743054229755,approximant
k,0.07482828876721825,plosive
r,0.09008265758844473,approximant
i,0.10148206460828776,vowel
o,0.1844800808848648,vowel
