,moderately_negative,very_negative,neutral,positive
a,97,491,83,18
e,37,299,46,10
o,40,272,69,8
i,42,256,41,12
t,39,249,33,9
n,27,237,40,10
k,37,181,39,5
s,22,193,34,12
d,34,169,44,6
u,17,165,32,5
l,25,143,33,8
m,30,150,14,5
b,17,139,26,3
p,24,98,36,4
j,24,112,15,3
ɾ,31,99,8,0
r,13,72,12,3
v,5,59,12,7
z,16,46,19,2
x,3,64,13,2
ɯ,20,59,2,0
ɛ,9,50,9,3
ɡ,9,48,9,1
ʃ,10,51,5,0
ə,11,43,5,6
ʀ,8,42,8,4
ɐ,7,34,10,0
f,10,38,1,1
y,4,31,10,1
ʒ,7,27,3,2
ɨ,1,17,8,0
ɰ,7,15,3,1
ʂ,3,15,3,0
ɕ,1,13,4,1
ɑ,3,16,0,0
h,2,14,0,0
ɔ,3,7,4,0
œ,0,10,3,0
ɒ,0,12,0,0
ʝ,1,7,2,1
w,0,11,0,0
ŋ,0,6,0,0
ʁ,0,3,2,0
ʎ,0,3,1,0
ʈ,0,4,0,0
ɲ,1,2,0,0
ɣ,0,3,0,0
ʔ,0,1,0,0
ɻ,0,1,0,0
