Phoneme,CorrelationWithValence,SoundClass
ʃ,-0.10929712492607825,fricative
e,-0.10289848771750279,vowel
t,-0.08798105864567415,plosive
œ,-0.07695635007918628,vowel
i,-0.0699126606062735,vowel
ɯ,-0.06912365929891263,vowel
m,-0.0677267673799943,nasal
ɾ,-0.06671843487107272,approximant
ɒ,-0.0657434361215072,vowel
n,-0.051527714840035224,nasal
h,-0.05074644461261841,approximant
ɡ,-0.04901546111097563,plosive
ɑ,-0.04816219757909282,vowel
w,-0.0480050087145172,approximant
f,-0.04782022989253448,fricative
ɣ,-0.044471162481138145,fricative
j,-0.036941634569175166,approximant
ŋ,-0.035255901185081824,nasal
b,-0.03270059743886278,plosive
r,-0.03061418326207614,approximant
ɲ,-0.028283435898592516,nasal
ʈ,-0.027251543123291613,plosive
s,-0.019855344769464146,fricative
a,-0.01732243318103188,vowel
ʂ,-0.013902010170507611,fricative
o,-0.013855425123253315,vowel
ɻ,-0.01124077529566164,approximant
ʔ,-0.011240775295661634,approximant
ʒ,-0.008435018253690928,fricative
y,0.004245776100969751,vowel
k,0.004724565242064358,plosive
ʎ,0.010222387634588787,approximant
x,0.015067821227781011,fricative
u,0.015086550237779876,vowel
v,0.019324992827351676,fricative
ɐ,0.024128206078240202,vowel
d,0.027649512548869652,plosive
l,0.036013291122852724,approximant
ʁ,0.04220700248423589,fricative
ɨ,0.04231815393360596,vowel
ɕ,0.04360834380220295,fricative
ʝ,0.044159774311589406,fricative
ʀ,0.052845003931679964,approximant
ɛ,0.05826860932429473,vowel
ɔ,0.06025634131686607,vowel
ə,0.06481833969966591,vowel
ɰ,0.06555671851310876,approximant
z,0.07654508928936067,fricative
p,0.13143205614270417,plosive
