Phoneme,CorrelationWithValence,SoundClass
s,-0.35703156615848375,fricative
n,-0.31597047734095224,nasal
t,-0.27242590442428255,plosive
i,-0.2646675201951919,vowel
d,-0.2280832768243259,plosive
ʒ,-0.2165379410902954,fricative
m,-0.2017070545262111,nasal
ʃ,-0.1983462084436887,fricative
ɯ,-0.19227052203697031,vowel
o,-0.19006273827032563,vowel
k,-0.15508855876019903,plosive
œ,-0.1517015013259311,vowel
e,-0.11830561984551245,vowel
ɡ,-0.11158908086486216,plosive
y,-0.10498809367707328,vowel
h,-0.05105732614551798,approximant
ɾ,-0.04797821996843555,approximant
p,0.032228330752106245,plosive
f,0.038101032617770106,fricative
b,0.039087473196684396,plosive
u,0.04341610929877647,vowel
j,0.060278553537258556,approximant
a,0.07616706343408466,vowel
l,0.1662730673282328,approximant
z,0.17798421970819697,fricative
v,0.22040623090521563,fricative
ɰ,0.23032766469611318,approximant
